pseudoid,weightNet,vacuumed,quantum,quantumUnit,geometry,height,density,massInJar,massInJarTare,massInJarGross,dryWeightNet,dryWeightPercent,totalVaporizationAmount,totalVaporizationVolume,ashWeightNet,amountToAshing,ashConcentration,SrCarrierConcentration,SrCarrierVolume,sievedOrganicWeight,sievedRocksWeight,sievedDryWeight
50520,1465.69,0,1.46641,kg_tp,g-3,13,0.67,12.05,12.12,24.17,298.19000000000005,20.34,,,12.060000000000002,298.19,4.04,,,,,
76185,1426.54,0,1.42719,kg_tp,g-3,16,0.58,12.95,12.1,25.05,303.1400000000001,21.25,,,12.949999999999989,303.14,4.27,,,,,
56391,1573.76,0,1.54336,kg_tp,g-3,14,0.68,13.15,12.03,25.18,331.8600000000001,21.09,,,13.420000000000016,331.86,4.04,,,,,
64959,1403.26,0,1.39727,kg_tp,g-3,16,0.62,13.84,12.12,25.96,277.96000000000004,19.81,,,13.889999999999986,277.96,5,,,,,
74975,,0,0.79,litra,g-3,7,0.42,4.04,12.12,16.16,,,798.35,,4.030000000000001,37.83,10.65,,,,,
51700,444.9,0,0.06129,kg_kp,g-2,23,0.62,61.29,26.97,88.26,60.39999999999998,13.58,,,,,,,,,,
67262,569.15,0,0.04562,kg_kp,g-2,23,0.46,45.62,26.96,72.58,54.389999999999986,9.56,,,,,,,,,,
69745,402.75,0,0.04181,kg_kp,g-2,26,0.37,41.81,26.92,68.73,58.19999999999999,14.45,,,,,,,,,,
66066,796.06,0,0.04927,kg_kp,g-2,26,0.44,49.27,26.96,76.23,89.21999999999998,11.21,,,,,,,,,,
71405,894.08,0,0.06985,kg_kp,g-2,26,0.62,69.85,27.06,96.91,192.62,21.54,,,,,,,,,,
77693,,0,0.0239,m^3,g-3,1,0.26,0.36,11.14,11.5,,,23900,,,,,10,3,,,
63082,,0,0.02286,m^3,g-3,1,0.23,0.32,11,11.32,,,22860,,,,,10,3,,,
62870,91.83,1,0.03682,kg_kp,g-3,26,1.02,36.82,11.14,47.96,58.260000000000005,63.44,,,,,,,,,,
77911,,1,0.0791,kg,g-2,26,0.71,79.1,27.1,106.2,,,,,,,,,,,,
65773,,1,0.1974,kg,g-2,26,1.77,197.4,27.1,224.5,,,,,,,,,,,,
76060,,0,0.8666,kg,g-1,30,1.6,866.6,137,1003.6,,,,,,,,,,,,
71423,99.8,1,0.05426,kg_kp,g-3,26,1.51,54.26,11.05,65.31,72.78,72.93,,,,,,,,,,
78699,131.75,1,0.04726,kg_kp,g-3,26,1.31,47.26,10.94,58.2,91.68,69.59,,,,,,,,,,
67981,137.66,1,0.05598,kg_kp,g-3,26,1.55,55.98,10.97,66.95,102.85,74.71,,,,,,,,,,
53663,135.82,1,0.05273,kg_kp,g-3,26,1.46,52.73,11.81,64.54,100.31,73.86,,,,,,,,,,
75869,128.43,1,0.04264,kg_kp,g-3,26,1.18,42.64,11.67,54.31,87.75,68.33,,,,,,,,,,
76198,123.32,1,0.05514,kg_kp,g-3,26,1.53,55.14,11.12,66.26,95.22999999999999,77.22,,,,,,,,,,
72705,94.5,1,0.04367,kg_kp,g-3,26,1.21,43.67,11.79,55.46,62.65,66.3,,,,,,,,,,
53957,71.24,1,0.03463,kg_kp,g-3,26,0.96,34.63,11.01,45.64,40.85,57.34,,,,,,,,,,
63240,84.1,1,0.03895,kg_kp,g-3,26,1.08,38.95,11.67,50.62,53.730000000000004,63.89,,,,,,,,,,
73479,,0,0.8415,kg,g-1,30,1.56,841.5,132.7,974.2,,,,,,,,,,,,
66232,103.25,1,0.04609,kg_kp,g-3,26,1.28,46.09,11.67,57.76,75.32000000000001,72.95,,,,,,,,,,
60996,171.34,1,0.04101,kg_kp,g-3,26,1.14,41.01,10.98,51.99,114.5,66.83,,,,,,,,,,
55896,213.42,1,0.06043,kg_kp,g-3,26,1.68,60.43,11.01,71.44,164.37,77.02,,,,,,,,,,
77336,245.02,1,0.19357,kg_kp,g-2,26,1.73,193.57,26.84,220.41,196.14999999999998,80.05,,,,,,,,,,
76829,204.76,1,0.05761,kg_kp,g-3,26,1.6,57.61,11.51,69.12,155.11,75.75,,,,,,,,,,
71441,215.54,1,0.0505,kg_kp,g-3,26,1.4,50.5,10.98,61.48,168.31,78.09,,,,,,,,,,
76526,196.98,1,0.05407,kg_kp,g-3,26,1.5,54.07,11.01,65.08,152,77.17,,,,,,,,,,
56949,164.1,1,0.05483,kg_kp,g-3,26,1.52,54.83,11.78,66.61,128.26,78.16,,,,,,,,,,
66754,147.52,1,0.05471,kg_kp,g-3,26,1.52,54.71,11,65.71,113.03,76.62,,,,,,,,,,
51407,163.15,1,0.05388,kg_kp,g-3,26,1.5,53.88,10.98,64.86,124.13,76.08,,,,,,,,,,
68403,128,1,0.05581,kg_kp,g-3,26,1.55,55.81,11.12,66.93,101.69,79.45,,,,,,,,,,
76129,,0,0.01099,kg_kp,g-3,26,0.31,10.99,11.13,22.12,,,,,,,,,,,,
72647,,0,0.25844,kg,g-2,26,2.31,258.44,26.75,285.19,,,,,,,,,,,,
59411,,0,0.26623,kg,g-2,26,2.38,266.23,27.09,293.32,,,,,,,,,,,,
59875,,1,0.101,kg,g-2,26,0.9,101,27.1,128.1,,,,,,,,,,,,
